Age Group,Category of work,Protein (PE ratio),Calcium (mg/d),Magnesium (mg/d),Iron (mg/d),Zinc (mg/d),Iodine (µg/day),Niacin (mg/d),Vit. B6 (mg/d),Folate (µg/d),Vit. C (mg/d),Vit. A (µg/d),Vit. D (IU/d)
Men,Sedentary,<40%,2500,350,45,40,1100,35,100,1000,2000,3000,4000
Men,Moderate,<40%,2500,350,45,40,1100,35,100,1000,2000,3000,4000
Men,Heavy,<40%,2500,350,45,40,1100,35,100,1000,2000,3000,4000
Women,Sedentary,<40%,2500,350,45,40,1100,35,100,1000,2000,3000,4000
Women,Moderate,<40%,2500,350,45,40,1100,35,100,1000,2000,3000,4000
Women,Heavy,<40%,2500,350,45,40,1100,35,100,1000,2000,3000,4000
Women,Pregnant woman (3-6m),<30%,2500,350,45,40,1100,-,-,1000,2000,3000,4000
Women,Pregnant woman(6-9m),<30%,2500,350,45,40,1100,-,-,1000,2000,3000,4000
Women,Lactation 0-6m,<40%,2500,350,45,40,1100,-,-,1000,2000,3000,4000
Women,Lactation 7-12m,<40%,2500,350,45,40,1100,-,-,1000,2000,3000,4000
Infants,0-6 m,<15%,-,-,40,4,-,-,-,-,600,1000,
Infants,6-12 m,<15%,-,-,40,5,-,-,-,-,600,1500,
Children,1-3 y,<15%,1500,65,40,7,200,-,-,-,350,600,2500
Children,4-6 y,<15%,2500,110,40,12,300,-,-,-,550,900,3000
Children,7-9 y,<15%,2500,110,40,12,400,-,-,300,800,900,3000
Boys,10-12 y,<15%,3000,350,40,23,600,-,-,600-800,1050,1700,4000
Girls,10-12 y,<15%,3000,350,40,23,600,-,-,600-800,1300,1700,4000
Boys,13-15 y,<15%,3000,350,45,34,900,-,-,600-800,1550,2800,4000
Girls,13-15 y,<15%,3000,350,45,34,900,-,-,600-800,1800,2800,4000
Boys,16-18 y,<15%,3000,350,45,34,1100,-,-,600-800,1950,2800,4000
Girls,16-18 y,<15%,3000,350,45,34,1100,-,-,600-800,2000,2800,4000
