Category/Age group,Age Group (years),Physical activity level,Body Wt (kg),Protein (g/d),Protein (g/kg/d),Dietary Fibre* (g/d),Calcium (mg/d),Magnesium (mg/d),Iron (mg/d),Zinc (mg/d),Iodine (μg/d),Thiamine (mg/d),Riboflavin (mg/d),Niacin (mg/d),Vit B6 (mg/d),Folate (μg/d),Vit B12 (μg/d),Vit C (mg/d),Vit A (μg/d),Vit D (IU/d)
Adult Men ,>=18,Sedentary,65,54,0.83,30,1000,440,19,17,140,1.4,2,14,1.9,300,2.2,80,1000,600
Adult Men ,>=18,Moderate,65,54,0.83,40,1000,440,19,17,140,1.8,2.5,18,2.4,300,2.2,80,1000,600
Adult Men ,>=18,Heavy,65,54,0.83,50,1000,440,19,17,140,2.3,3.2,23,3.1,300,2.2,80,1000,600
Adult Women ,>=18,Sedentary,55,46,0.83,25,1000,370,29,13.2,140,1.4,1.9,11,1.9,220,2.2,65,840,600
Adult Women ,>=18,Moderate,55,46,0.83,30,1000,370,29,13.2,140,1.7,2.4,14,2.4,220,2.2,65,840,600
Adult Women ,>=18,Heavy,55,46,0.83,40,1000,370,29,13.2,140,2.2,3.1,18,2.4,220,2.2,65,840,600
Pregnant woman (3-6m),,,55 + 10 GWG,55.5,0.83,,,,,,,,,,,,,,,
Pregnant woman (6-9m),,,55+10 GWG,68,0.83,,,,,,,,,,,,,,,
Lactation (0-6m),,-,55,63,0.83,-,1200,400,23,14.1,280,2.1,3,16,2.16,330,3.2,115,950,600
Lactation (7-12m),,-,55,59,0.83,-,1200,400,23,14.1,280,-,2.9,-,2.07,330,3.2,115,950,600
Infants ,0-0.5,-,5.8,8,1.4,-,300,30,-,-,100,0.2,0.4,2,0.1,25,1.2,20,350,400
Infants ,0.5-1,-,8.5,10.5,1.23,-,300,75,6,2.5,130,0.4,0.6,5,0.6,85,1.2,30,350,400
Children ,1-3,-,12.9,12.5,0.97,15,500,90,8,3.3,90,0.7,1.1,7,0.9,120,1.2,30,390,600
Children ,4-6,-,18.3,16,0.87,20,550,125,11,4.5,90,0.9,1.3,9,1.2,135,2.2,35,510,600
Children ,7-9,-,25.3,23,0.92,26,650,175,15,5.9,90,1.1,1.6,11,1.5,170,2.2,45,630,600
Boys ,10-12,-,34.9,32,0.91,33,850,240,16,8.5,100,1.5,2.1,15,2,220,2.2,55,770,600
Girls ,10-12,-,36.4,33,0.9,30,850,250,28,8.5,100,1.4,1.9,14,1.9,225,2.2,50,790,600
Boys ,13-15,-,50.5,45,0.89,43,1000,345,22,14.3,140,1.9,2.7,19,2.6,285,2.2,70,930,600
Girls ,13-15,-,49.6,43,0.87,36,1000,340,30,12.8,140,1.6,2.2,16,2.2,245,2.2,65,890,600
Boys ,16-18,-,64.4,55,0.86,50,1050,440,26,17.6,140,2.2,3.1,22,3,340,2.2,85,1000,600
Girls ,16-18,-,55.7,46,0.83,38,1050,380,32,14.2,140,1.7,2.3,17,2.3,270,2.2,70,860,600
Women,>=60,,,46,,25,1200,370,19,13.2,140,1.3,1.9,11,1.9,200,2.2,65,840,800
Men,>=60,,,54,,30,1200,440,19,17,140,1.4,2,14,1.9,300,2.2,80,1000,800
